iter	Passed	Remaining
438	1323	1690
439	1325	1687
440	1328	1684
441	1331	1680
442	1333	1677
443	1336	1673
444	1338	1669
445	1341	1666
446	1344	1663
447	1346	1659
448	1349	1655
449	1351	1652
450	1354	1648
451	1356	1644
452	1359	1641
453	1362	1638
454	1364	1634
455	1366	1630
456	1369	1627
457	1372	1623
458	1374	1620
459	1377	1616
460	1379	1613
461	1382	1609
462	1385	1606
463	1388	1603
464	1390	1600
465	1393	1596
466	1395	1593
467	1398	1589
468	1401	1586
469	1405	1584
470	1408	1581
471	1410	1578
472	1414	1575
473	1417	1572
474	1420	1569
475	1422	1565
476	1425	1562
477	1427	1559
478	1430	1556
479	1433	1552
480	1435	1549
481	1438	1545
482	1441	1542
483	1444	1539
484	1446	1536
485	1449	1533
486	1452	1530
487	1455	1526
488	1457	1523
489	1460	1520
490	1462	1516
491	1465	1513
492	1468	1510
493	1470	1506
494	1473	1503
495	1476	1500
496	1479	1497
497	1482	1494
498	1485	1491
499	1487	1487
500	1490	1484
501	1493	1482
502	1496	1478
503	1499	1475
504	1502	1473
505	1505	1470
506	1508	1466
507	1510	1463
508	1513	1459
509	1516	1457
510	1519	1453
511	1521	1450
512	1524	1447
513	1528	1445
514	1531	1441
515	1533	1438
516	1537	1436
517	1539	1432
518	1542	1429
519	1545	1426
520	1548	1423
521	1551	1420
522	1553	1417
523	1556	1413
524	1559	1410
525	1562	1407
526	1564	1404
527	1567	1401
528	1570	1397
529	1572	1394
530	1575	1391
531	1577	1387
532	1580	1384
533	1582	1381
534	1585	1377
535	1587	1374
536	1589	1370
537	1592	1367
538	1594	1364
539	1600	1363
540	1608	1364
541	1613	1363
542	1617	1361
543	1620	1358
544	1623	1355
545	1627	1353
546	1630	1350
547	1633	1347
548	1636	1344
549	1639	1341
550	1642	1338
551	1646	1336
552	1649	1333
553	1652	1330
554	1655	1327
555	1658	1324
556	1660	1320
557	1663	1317
558	1666	1315
559	1670	1312
560	1673	1309
561	1676	1306
562	1679	1303
563	1682	1300
564	1686	1298
565	1689	1295
566	1692	1292
567	1695	1289
568	1699	1287
569	1702	1284
570	1706	1282
571	1710	1279
572	1713	1276
573	1716	1274
574	1719	1271
575	1722	1268
576	1725	1265
577	1728	1261
578	1731	1259
579	1735	1256
580	1737	1253
581	1741	1250
582	1743	1247
583	1747	1244
584	1749	1241
585	1753	1238
586	1756	1236
587	1759	1232
588	1762	1229
589	1765	1226
590	1768	1223
591	1770	1220
592	1773	1217
593	1777	1214
594	1779	1211
595	1782	1208
596	1785	1205
597	1788	1202
598	1790	1198
599	1793	1195
600	1796	1192
601	1799	1189
602	1802	1186
603	1805	1183
604	1808	1180
605	1810	1177
606	1813	1174
607	1816	1171
608	1819	1168
609	1822	1164
610	1824	1161
611	1827	1158
612	1830	1155
613	1833	1152
614	1835	1149
615	1838	1145
616	1840	1142
617	1843	1139
618	1846	1136
619	1849	1133
620	1852	1130
621	1855	1127
622	1858	1124
623	1861	1121
624	1863	1118
625	1866	1115
626	1868	1111
627	1871	1108
628	1874	1105
629	1877	1102
630	1879	1099
631	1882	1096
632	1885	1092
633	1887	1089
634	1891	1086
635	1893	1083
636	1896	1080
637	1900	1078
638	1902	1075
639	1905	1072
640	1909	1069
641	1912	1066
642	1915	1063
643	1918	1060
644	1921	1057
645	1923	1054
646	1926	1051
647	1929	1047
648	1932	1045
649	1936	1042
650	1939	1039
651	1942	1036
652	1945	1033
653	1948	1030
654	1951	1027
655	1954	1025
656	1957	1021
657	1960	1018
658	1963	1015
659	1966	1012
660	1968	1009
661	1971	1006
662	1973	1003
663	1976	1000
664	1979	997
665	1982	994
666	1984	990
667	1987	987
668	1989	984
669	1992	981
670	1995	978
671	1998	975
672	2001	972
673	2003	969
674	2006	966
675	2008	962
676	2011	959
677	2014	956
678	2016	953
679	2019	950
680	2022	947
681	2025	944
682	2027	941
683	2030	938
684	2033	934
685	2035	931
686	2038	928
687	2041	925
688	2044	922
689	2047	919
690	2049	916
691	2052	913
692	2055	910
693	2058	907
694	2061	904
695	2064	901
696	2066	898
697	2069	895
698	2072	892
699	2075	889
700	2078	886
701	2081	883
702	2083	880
703	2086	877
704	2089	874
705	2092	871
706	2095	868
707	2098	865
708	2102	862
709	2105	860
710	2108	856
711	2111	854
712	2113	850
713	2116	847
714	2119	845
715	2122	842
716	2125	838
717	2129	836
718	2131	833
719	2134	830
720	2137	827
721	2139	823
722	2142	820
723	2145	817
724	2148	814
725	2150	811
726	2154	808
727	2157	806
728	2160	803
729	2163	800
730	2165	797
731	2168	793
